City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
248,carutapera,BR,78.71,overcast clouds,-1.2,-46.02,Lidera
249,constitucion,CL,66.18,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
250,hualmay,PE,74.79,scattered clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
255,yola,NG,73.31,few clouds,9.2,12.48,Muna Hotel
258,puerto madryn,AR,80.65,clear sky,-42.77,-65.04,Hotel Tolosa
259,necochea,AR,75.04,clear sky,-38.55,-58.74,dyd -mar Hotel
260,samarai,PG,80.87,light rain,-10.62,150.67,Nuli Sapi
263,tyler,US,67.69,broken clouds,32.35,-95.3,The Woldert-Spence Manor
264,praia,CV,76.17,overcast clouds,14.92,-23.51,LT Aparthotel
265,imbituba,BR,74.86,broken clouds,-28.24,-48.67,Praia Hotel Imbituba
266,sabang,ID,80.13,broken clouds,5.89,95.32,Hotel Citra
267,celestun,MX,81.16,clear sky,20.87,-90.4,Posada Lilia
268,bredasdorp,ZA,74.8,clear sky,-34.53,20.04,Bredasdorp Country Manor
273,mhlume,SZ,72.86,clear sky,-26.03,31.85,Mhlume Country Club
274,ahipara,NZ,71.92,overcast clouds,-35.17,173.17,Ahipara Holiday Park
280,nizwa,OM,69.01,clear sky,22.93,57.53,Orient Apartments
284,lufilufi,WS,79.79,light rain,-13.87,-171.6,Leuaina Beach Resort and Spa
286,takoradi,GH,80.29,broken clouds,4.88,-1.76,Raybow International Hotel
287,lhokseumawe,ID,76.1,scattered clouds,5.18,97.15,OYO 3278 Penginapan Alfajri
292,cape canaveral,US,71.85,clear sky,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
293,guerrero negro,MX,64.42,overcast clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
294,sumenep,ID,77.58,overcast clouds,-7.02,113.87,OYO 3271 Homestay Pandian
297,hambantota,LK,72.45,clear sky,6.12,81.12,Bungalow 63
298,ratnagiri,IN,71.51,clear sky,16.98,73.3,Hotel Landmark
299,manthani,IN,65.93,clear sky,18.65,79.67,Arepelli kumar muncipal vice chairman
300,poum,NC,81.12,broken clouds,-20.23,164.02,Gîte kajeon
303,sao joao da barra,BR,80.69,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
305,quatre cocos,MU,77.09,moderate rain,-20.21,57.76,Sunrise Attitude Hotel
306,ormara,PK,72.27,clear sky,25.21,64.64,Crystal Beach and Camping Resort Ormara
307,kumhari,IN,62.76,clear sky,21.27,81.52,Townhouse OAK Hotel MP Inn
309,gorom-gorom,BF,70.86,broken clouds,14.44,-0.24,
310,bacolod,PH,75.87,overcast clouds,10.67,122.95,Planta Hotel & Residences
311,catuday,PH,74.75,clear sky,16.29,119.81,Benjie's Kubo & Cottages
312,oudtshoorn,ZA,66.56,light rain,-33.59,22.2,Earthbound Guest House
313,adrar,MR,74.66,overcast clouds,20.5,-10.07,
314,gamba,GA,78.21,light rain,-2.65,10.0,
322,maine-soroa,NE,61.25,clear sky,13.21,12.02,Complexe
325,pisco,PE,77.05,clear sky,-13.7,-76.22,Hotel San Isidro Oficial
328,oak ridge,US,62.22,clear sky,36.01,-84.27,DoubleTree by Hilton Hotel Oak Ridge - Knoxville
329,valparaiso,CL,69.44,clear sky,-33.04,-71.63,Hotel Ultramar
332,ancud,CL,66.22,overcast clouds,-41.87,-73.82,Hotel Arena Gruesa
333,carnarvon,AU,73.47,scattered clouds,-24.87,113.63,Hospitality Carnarvon
336,tacoronte,ES,68.34,few clouds,28.48,-16.41,Haciendas del Valle - Casa San Miguel
338,sorong,ID,79.2,overcast clouds,-0.88,131.25,Waigo Splash Hotel
339,vangaindrano,MG,73.53,light rain,-23.35,47.6,Hotel Fanilo
342,rurrenabaque,BO,72.23,heavy intensity rain,-14.44,-67.53,Casa de Campo
343,clarence town,AU,76.28,overcast clouds,-32.58,151.78,River Downs Cottage
348,bud,US,62.62,overcast clouds,39.45,-86.18,Ted McQuinn Trust
349,cockburn town,TC,75.22,clear sky,21.46,-71.14,Osprey Beach Hotel
350,rawson,AR,79.16,scattered clouds,-43.3,-65.1,Hosteria Sampedro
351,kilinochchi,LK,70.77,scattered clouds,9.4,80.4,Solaivanam Guest House
352,charleville,AU,78.87,overcast clouds,-26.4,146.25,Cosmos Country Motor Inn
356,ugep,NG,76.57,few clouds,5.81,8.08,Cravings Hotel
358,kasempa,ZM,64.63,light rain,-13.46,25.83,Jipumpu Guest House
359,pitimbu,BR,81.19,scattered clouds,-7.47,-34.81,Reserva do Abiaí
360,harper,LR,79.45,scattered clouds,4.38,-7.72,Screensaver
365,ippy,CF,77.74,scattered clouds,6.27,21.22,
366,port blair,IN,74.66,few clouds,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
372,mbaiki,CF,71.89,scattered clouds,3.87,17.99,Motel MBM
375,inhambane,MZ,77.02,clear sky,-23.86,35.38,Oceano
376,cam ranh,VN,73.36,few clouds,11.92,109.16,OYO 598 Peony Hotel
378,meulaboh,ID,75.2,overcast clouds,4.14,96.13,Kost Pria
379,biak,ID,76.42,overcast clouds,-0.91,122.88,Penginapan Kim
380,rio grande,BR,78.91,clear sky,-32.03,-52.1,Hotel Atlântico Rio Grande
381,am timan,TD,75.99,clear sky,11.03,20.28,Palais du chef Canton Salamt
384,nanga eboko,CM,70.23,scattered clouds,4.68,12.37,Akila Hotel
385,lucapa,AO,65.71,light rain,-8.42,20.74,Residência Ulisses Dos Santos
392,el cobre,CU,80.04,scattered clouds,20.05,-75.95,Hospedería del Santuario de Nuestra Señora de la Caridad de El Cobre
394,conde,BR,80.06,clear sky,-7.26,-34.91,Pousada Beija Flor
398,mount isa,AU,78.57,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
404,kampong chhnang,KH,75.24,few clouds,12.17,104.55,ផ្ទះសំណាក់ហេងស្រស់
411,pacific grove,US,60.75,clear sky,36.62,-121.92,Lovers Point Inn
413,port lincoln,AU,60.91,broken clouds,-34.73,135.87,Port Lincoln Hotel
414,lexington,US,61.92,clear sky,37.99,-84.48,DoubleTree Suites by Hilton Hotel Lexington
416,lamar,US,68.99,overcast clouds,33.67,-95.58,Kings Inn Paris TX
418,vila do maio,CV,75.0,overcast clouds,15.13,-23.22,Hotel Marilu
421,souillac,MU,77.36,moderate rain,-20.52,57.52,Bils' Villa
422,acari,PE,79.66,scattered clouds,-15.43,-74.62,HOSPEDAJE XIMENA
423,srivardhan,IN,70.32,clear sky,18.03,73.02,Savli Resort/Hotel - Shrivardhan
426,huntsville,US,65.1,clear sky,34.73,-86.59,Embassy Suites by Hilton Huntsville Hotel & Spa
428,srandakan,ID,61.74,broken clouds,-7.94,110.25,Puri Brata
429,valdivia,CL,71.44,clear sky,-39.81,-73.25,Hostal Entre Rios
431,richards bay,ZA,77.29,overcast clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
432,pak chong,TH,76.82,scattered clouds,14.71,101.42,PakChong Phubade Hotel
433,ekpoma,NG,72.86,few clouds,6.74,6.14,His Banner Hotel
434,balabac,PH,80.47,scattered clouds,7.99,117.06,Sing and Swing Lodge
435,nanakuli,US,80.55,clear sky,21.39,-158.15,Camp Pālehua
438,campestre,BR,68.07,overcast clouds,-21.71,-46.25,O Precinho
439,pauini,BR,80.69,overcast clouds,-7.71,-66.98,Casa do Kiwliks
440,lakes entrance,AU,60.17,few clouds,-37.88,147.98,The Esplanade Resort & Spa
441,boma,GH,72.97,few clouds,7.08,-2.17,Obaatanpa Hotel
442,boueni,YT,80.58,overcast clouds,-12.9,45.08,The feet in water
443,baturaja,ID,72.39,overcast clouds,-4.13,104.17,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
448,acarau,BR,80.98,overcast clouds,-2.89,-40.12,castelo pizzaria
452,nhulunbuy,AU,79.41,overcast clouds,-12.23,136.77,East Arnhem Real Estate
456,rocha,UY,72.12,clear sky,-34.48,-54.33,Hotel Arrarte
459,calvinia,ZA,74.57,overcast clouds,-31.47,19.78,Die Lemoenhuis
471,yulara,AU,67.84,broken clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
474,rockport,US,76.23,clear sky,28.02,-97.05,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
476,conakry,GN,79.11,scattered clouds,9.54,-13.68,Riviera Royal Hotel
483,espinosa,BR,75.2,overcast clouds,-14.93,-42.82,Hotel Vilma
485,sekoma,BW,77.36,overcast clouds,-24.4,23.88,
487,bac lieu,VN,77.34,scattered clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
488,ritchie,ZA,74.17,overcast clouds,-29.04,24.6,Riverside Country Club Modderrivier
492,poya,NC,80.49,scattered clouds,-21.35,165.15,
494,mabaruma,GY,80.64,few clouds,8.2,-59.78,Monty Brooms Guest House
497,qui nhon,VN,71.96,overcast clouds,13.77,109.23,Hoang Yen Canary Hotel
498,afua,BR,77.63,broken clouds,-0.16,-50.39,Hotel Dias
499,san andres,CO,79.25,few clouds,12.58,-81.7,Hotel Arena Blanca
500,reyes,BO,71.94,heavy intensity rain,-14.32,-67.38,
503,kuliyapitiya,LK,71.28,clear sky,7.47,80.04,Rest House
508,chodavaram,IN,71.44,clear sky,17.83,82.95,Ganesh Defence Academy chodavadaram hostel
509,kidal,ML,69.69,broken clouds,18.44,1.41,
513,port shepstone,ZA,77.59,overcast clouds,-30.74,30.45,My Den Beachfront Bed and Breakfast | Self-Catering
516,kirakira,SB,81.25,heavy intensity rain,-10.45,161.92,SanBiz Lodge
523,matamoros,MX,75.31,clear sky,25.53,-103.25,Recreativo Sabdy Briseidy
525,sompeta,IN,69.13,clear sky,18.93,84.6,Netaji's Home
526,yeppoon,AU,78.58,overcast clouds,-23.13,150.73,Villa Mar Colina
527,lompoc,US,68.68,clear sky,34.64,-120.46,"Holiday Inn Express Lompoc, an IHG Hotel"
